"clave_mun","municipio","2017","2018","2019","2020","Ago-2021"
"1","ACATIC","0","1","0","0","0"
"2","ACATLAN DE JUAREZ","0","0","0","1","0"
"3","AHUALULCO DE MERCADO","0","0","0","2","0"
"4","AMACUECA","0","0","0","0","0"
"5","AMATITAN","0","0","0","0","0"
"6","AMECA","0","1","0","0","0"
"7","SAN JUANITO DE ESCOBEDO","0","0","0","0","0"
"8","ARANDAS","0","0","1","0","0"
"9","EL ARENAL","0","0","0","0","0"
"10","ATEMAJAC DE BRIZUELA","0","0","0","1","0"
"11","ATENGO","0","0","0","0","0"
"12","ATENGUILLO","0","0","0","0","0"
"13","ATOTONILCO EL ALTO","0","0","0","0","0"
"14","ATOYAC","0","0","0","0","0"
"15","AUTLAN DE NAVARRO","0","1","0","0","0"
"16","AYOTLAN","0","1","0","0","0"
"17","AYUTLA","0","0","0","0","0"
"18","LA BARCA","0","0","0","1","0"
"19","BOLAÑOS","0","0","1","0","0"
"20","CABO CORRIENTES","0","0","0","0","0"
"21","CASIMIRO CASTILLO","0","0","0","0","0"
"22","CIHUATLAN","2","1","0","1","0"
"23","ZAPOTLAN EL GRANDE","0","0","0","0","0"
"24","COCULA","0","0","0","0","0"
"25","COLOTLAN","0","0","0","0","0"
"26","CONCEPCION DE BUENOS AIRES","0","0","0","0","0"
"27","CUAUTITLAN DE GARCIA BARRAGAN","0","0","0","0","0"
"28","CUAUTLA","0","0","0","0","0"
"29","CUQUIO","0","0","1","0","0"
"30","CHAPALA","1","0","0","1","0"
"31","CHIMALTITAN","0","0","0","0","0"
"32","CHIQUILISTLAN","0","0","0","0","0"
"33","DEGOLLADO","0","0","0","0","0"
"34","EJUTLA","1","0","0","0","0"
"35","ENCARNACION DE DIAZ","0","0","0","0","0"
"36","ETZATLAN","0","0","0","0","0"
"37","EL GRULLO","0","1","0","0","0"
"38","GUACHINANGO","0","0","0","0","0"
"39","GUADALAJARA","1","6","10","12","8"
"40","HOSTOTIPAQUILLO","0","0","0","0","0"
"41","HUEJUCAR","0","0","0","0","0"
"42","HUEJUQUILLA EL ALTO","0","1","0","0","0"
"43","LA HUERTA","0","0","1","0","0"
"44","IXTLAHUACAN DE LOS MEMBRILLOS","1","1","0","0","0"
"45","IXTLAHUACAN DEL RIO","0","0","0","0","0"
"46","JALOSTOTITLAN","0","0","0","1","0"
"47","JAMAY","0","0","0","0","0"
"48","JESUS MARIA","1","0","0","0","0"
"49","JILOTLAN DE LOS DOLORES","0","0","0","0","0"
"50","JOCOTEPEC","1","0","0","0","0"
"51","JUANACATLAN","1","0","1","1","0"
"52","JUCHITLAN","0","0","0","0","0"
"53","LAGOS DE MORENO","1","0","0","0","1"
"54","EL LIMON","0","0","0","0","0"
"55","MAGDALENA","1","0","0","0","0"
"56","SANTA MARIA DEL ORO","0","0","0","0","0"
"57","LA MANZANILLA DE LA PAZ","0","0","0","0","0"
"58","MASCOTA","0","0","0","0","0"
"59","MAZAMITLA","0","1","0","0","0"
"60","MEXTICACAN","0","0","0","0","0"
"61","MEZQUITIC","0","0","2","2","0"
"62","MIXTLAN","0","0","0","0","0"
"63","OCOTLAN","2","0","1","0","0"
"64","OJUELOS DE JALISCO","0","0","0","0","1"
"65","PIHUAMO","0","0","0","0","0"
"66","PONCITLAN","0","0","0","1","0"
"67","PUERTO VALLARTA","0","2","5","1","1"
"68","VILLA PURIFICACION","0","1","0","0","0"
"69","QUITUPAN","0","0","0","0","0"
"70","EL SALTO","6","2","2","3","2"
"71","SAN CRISTOBAL DE LA BARRANCA","0","0","0","0","0"
"72","SAN DIEGO DE ALEJANDRIA","0","0","0","0","0"
"73","SAN JUAN DE LOS LAGOS","0","0","0","0","0"
"74","SAN JULIAN","0","0","0","1","0"
"75","SAN MARCOS","0","0","0","0","0"
"76","SAN MARTIN DE BOLAÑOS","0","0","0","0","0"
"77","SAN MARTIN DE HIDALGO","0","0","0","0","0"
"78","SAN MIGUEL EL ALTO","1","0","0","0","0"
"79","GOMEZ FARIAS","0","0","0","0","0"
"80","SAN SEBASTIAN DEL OESTE","0","0","0","0","0"
"81","SANTA MARIA DE LOS ANGELES","0","0","0","0","0"
"82","SAYULA","1","0","0","0","0"
"83","TALA","1","0","1","1","0"
"84","TALPA DE ALLENDE","0","0","0","0","0"
"85","TAMAZULA DE GORDIANO","0","0","0","0","0"
"86","TAPALPA","0","0","0","0","0"
"87","TECALITLAN","0","0","0","0","0"
"88","TECOLOTLAN","0","0","0","0","0"
"89","TECHALUTA DE MONTENEGRO","0","0","0","0","0"
"90","TENAMAXTLAN","0","0","0","1","0"
"91","TEOCALTICHE","0","0","0","0","0"
"92","TEOCUITATLAN DE CORONA","0","0","0","0","0"
"93","TEPATITLAN DE MORELOS","0","0","0","0","1"
"94","TEQUILA","0","0","1","0","0"
"95","TEUCHITLAN","0","0","0","0","0"
"96","TIZAPAN EL ALTO","0","0","0","0","0"
"97","TLAJOMULCO DE ZUÑIGA","3","3","7","9","11"
"98","SAN PEDRO TLAQUEPAQUE","0","3","3","3","12"
"99","TOLIMAN","0","0","0","0","0"
"100","TOMATLAN","0","0","0","0","2"
"101","TONALA","1","2","2","5","4"
"102","TONAYA","0","0","0","0","0"
"103","TONILA","0","0","0","0","0"
"104","TOTATICHE","0","0","0","0","0"
"105","TOTOTLAN","0","0","0","0","0"
"106","TUXCACUESCO","0","0","0","0","0"
